date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:48:03	1280/1280	---M--	200	added ('OK')	text/html	etag:%2210cdb5-500-eae00600%22	http://www.cmass.edu.hk/~tf/0304HPage/FCar13_5_04/page/image39.html	d:/My%20Websites/cmass/www.cmass.edu.hk/_tf/0304HPage/FCar13_5_04/page/image39.html	(from http://www.cmass.edu.hk/~tf/0304HPage/index.htm)
09:48:05	1646/1646	---M--	200	added ('OK')	image/jpeg	etag:%2210ce14-66e-eb1d0f00%22	http://www.cmass.edu.hk/~tf/0304HPage/FCar13_5_04/Thumbs/tn_Robot046.jpg	d:/My%20Websites/cmass/www.cmass.edu.hk/_tf/0304HPage/FCar13_5_04/Thumbs/tn_Robot046.jpg	(from http://www.cmass.edu.hk/~tf/0304HPage/index.htm)
09:48:06	1280/1280	---M--	200	added ('OK')	text/html	etag:%2210cdb7-500-eae00600%22	http://www.cmass.edu.hk/~tf/0304HPage/FCar13_5_04/page/image40.html	d:/My%20Websites/cmass/www.cmass.edu.hk/_tf/0304HPage/FCar13_5_04/page/image40.html	(from http://www.cmass.edu.hk/~tf/0304HPage/index.htm)
09:48:06	1788/1788	---M--	200	added ('OK')	image/jpeg	etag:%2210ce15-6fc-eb1d0f00%22	http://www.cmass.edu.hk/~tf/0304HPage/FCar13_5_04/Thumbs/tn_Robot047.jpg	d:/My%20Websites/cmass/www.cmass.edu.hk/_tf/0304HPage/FCar13_5_04/Thumbs/tn_Robot047.jpg	(from http://www.cmass.edu.hk/~tf/0304HPage/index.htm)
09:48:07	111/111	---M--	200	added ('OK')	image/gif	etag:%2210ce25-6f-eb2c5140%22	http://www.cmass.edu.hk/~tf/0304HPage/FCar13_5_04/NavHomeD.gif	d:/My%20Websites/cmass/www.cmass.edu.hk/_tf/0304HPage/FCar13_5_04/NavHomeD.gif	(from http://www.cmass.edu.hk/~tf/0304HPage/index.htm)
09:48:08	100/100	---M--	200	added ('OK')	image/gif	etag:%2210ce29-64-eb2c5140%22	http://www.cmass.edu.hk/~tf/0304HPage/FCar13_5_04/NavPrevD.gif	d:/My%20Websites/cmass/www.cmass.edu.hk/_tf/0304HPage/FCar13_5_04/NavPrevD.gif	(from http://www.cmass.edu.hk/~tf/0304HPage/index.htm)
09:48:08	1851/1851	---M--	200	added ('OK')	text/html	etag:%2210ce20-73b-eb1d0f00%22	http://www.cmass.edu.hk/~tf/0304HPage/FCar13_5_04/FCar13-5-202.html	d:/My%20Websites/cmass/www.cmass.edu.hk/_tf/0304HPage/FCar13_5_04/FCar13-5-202.html	(from http://www.cmass.edu.hk/~tf/0304HPage/index.htm)
09:48:09	102/102	---M--	200	added ('OK')	image/gif	etag:%2210ce26-66-eb2c5140%22	http://www.cmass.edu.hk/~tf/0304HPage/FCar13_5_04/NavNext.gif	d:/My%20Websites/cmass/www.cmass.edu.hk/_tf/0304HPage/FCar13_5_04/NavNext.gif	(from http://www.cmass.edu.hk/~tf/0304HPage/index.htm)
09:48:10	116/116	---M--	200	added ('OK')	image/gif	etag:%2210ce22-74-eb2c5140%22	http://www.cmass.edu.hk/~tf/0304HPage/FCar13_5_04/NavEnd.gif	d:/My%20Websites/cmass/www.cmass.edu.hk/_tf/0304HPage/FCar13_5_04/NavEnd.gif	(from http://www.cmass.edu.hk/~tf/0304HPage/index.htm)
09:48:10	1255/1255	---M--	200	added ('OK')	text/html	etag:%2210ce83-4e7-eb695a40%22	http://www.cmass.edu.hk/~tf/0304HPage/Mouse29_2_04/page/image1.html	d:/My%20Websites/cmass/www.cmass.edu.hk/_tf/0304HPage/Mouse29_2_04/page/image1.html	(from http://www.cmass.edu.hk/~tf/0304HPage/index.htm)
